Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,Hashtags,Mentions,Media Type,,
1448040634049339398,"RT @Alenize82 : Il possibile ingaggio di #Mirante da parte del #Milan non credo sia una bocciatura per #Tatarusanu (tanto in #ChampionsLeague deve giocare il rumeno), quanto un discorso numerico. Infortunio lungo per #Plizzari, e #Maignan fuori un mesetto scarso (a occhio). C'è solo 'Tata'",Federico,Fprime86,2021-10-12T21:39:25.000Z,Tue Oct 12 21:39:25 +0000 2021,0,0,it,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,6,0,,,
1448040274798673922,"RT @robaboian_ : Erik Ten Hag, entrenador del #Ajax, hablando del equipo que revolucionó en la #ChampionsLeague en 2019 con su juego super vistoso:

""Todos los jugadores están involucrados, generar el espacio para jugar en equipo""

El subtitulado es mío. Si te gustó, podes dejar tu RT o me gusta. https://t.co/d9enx3phew",Nicolás,nicoenryg,2021-10-12T21:37:59.000Z,Tue Oct 12 21:37:59 +0000 2021,0,0,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,2,0,video,,
1448040209015316494,"RT @EydznG : BALON DE ORO 20-21

1 BENZEMA
2 CR7
3 MBAPPE
4 LEWANDOSKI
5 JORGUINHO
6 MESSI
7 CHIELLINI
8 DE BRUYNE
9 KANTE
10 COURTOIS

#FUTBOL #ChampionsLeague
#balondor #psg #RealMadrid #Barca #Penarol #FCBlive #LaLigaSantander #LaLiga #ESPNF90  #espn #CHAMPIONSxESPN #RealMadrid #Madrid #1",Florentino Pérez,EydznG,2021-10-12T21:37:43.000Z,Tue Oct 12 21:37:43 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,15,0,,,
1448040099594203137,"RT @DDMexico : #futbol #ChampionsLeague #MexicanosEnElExtranjero
🔴La mexicana Kenti Robles, jugadora del #RealMadrid, reconoció que el formidable gol que logró ante #ManchesterCity significó mucho para ella ⚽️
#DiariodeMexico
https://t.co/Ytw2Nsiz0I",IsraelCampos,IsramCampos,2021-10-12T21:37:17.000Z,Tue Oct 12 21:37:17 +0000 2021,0,0,es,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,6,0,,,
1448039968471912455,"BALON DE ORO 20-21

1 BENZEMA
2 CR7
3 MBAPPE
4 LEWANDOSKI
5 JORGUINHO
6 MESSI
7 CHIELLINI
8 DE BRUYNE
9 KANTE
10 COURTOIS

#FUTBOL #ChampionsLeague
#balondor #psg #RealMadrid #Barca #Penarol #FCBlive #LaLigaSantander #LaLiga #ESPNF90  #espn #CHAMPIONSxESPN #RealMadrid #Madrid #1",Florentino Pérez,EydznG,2021-10-12T21:36:46.000Z,Tue Oct 12 21:36:46 +0000 2021,1,1,fr,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,15,0,,,
1448039833272782849,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",☔Vendetta ن🇲🇦,F_Vendetta7,2021-10-12T21:36:14.000Z,Tue Oct 12 21:36:14 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,3,2,video,,
1448039470826246149,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",K̷B̷🐍,kbl_2x,2021-10-12T21:34:47.000Z,Tue Oct 12 21:34:47 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,3,2,video,,
1448039461565108236,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",Rúrik,theo__oeht__,2021-10-12T21:34:45.000Z,Tue Oct 12 21:34:45 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,3,2,video,,
1448038591217688576,"#HockeyTwitter 
#Rouen bat 4 2 l équipe danoise de sa poule en #ChampionsLeague et conforte sa seconde place
#hockey #sports #France",LA FRANCE DU SPORT,LAFRANCEDUSPORT,2021-10-12T21:31:18.000Z,Tue Oct 12 21:31:18 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,6,0,,,
1448038289815052290,#hoops #kobebryant #jordan #baseball #adidas #haaland #mbappe #camisetasbaratas #football #soccer #messi #ronaldo #championsleague #barcelona #realmadrid #neymar #cr7 #cristiano #leomessi #fifa #futebol #like4like #premierleague #nba #sports #nba #sports #ballislife #laliga https://t.co/TGegT033xv,OFFSIDEXSHOP,offsidexshop,2021-10-12T21:30:06.000Z,Tue Oct 12 21:30:06 +0000 2021,0,0,und,"<a href=""https://onlypult.com"" rel=""nofollow"">OnlyPultCom</a>",Tweet,29,0,photo,,
